# Event blackout calendar — consumed by src/intraday/risk.py (parsed with comment='#').
# type ∈ {expiry, results, rbi, fed, budget}. symbol empty = market-wide.
# Weekly index expiry (Thursdays) is auto-flagged by risk.py from config.
# Market-wide macro dates verified from FOMC calendar / RBI press releases / Union Budget.
# Per-symbol results dates: run `python scripts/build_events.py --earnings` to populate.
date,type,symbol
2023-07-26,results,BAJFINANCE
2023-10-17,results,BAJFINANCE
2024-01-29,results,BAJFINANCE
2024-04-25,results,BAJFINANCE
2024-07-23,results,BAJFINANCE
2024-10-22,results,BAJFINANCE
2025-01-29,results,BAJFINANCE
2023-07-31,results,MARUTI
2023-10-27,results,MARUTI
2024-01-31,results,MARUTI
2024-04-26,results,MARUTI
2024-07-31,results,MARUTI
2024-10-29,results,MARUTI
2025-01-29,results,MARUTI
2023-08-02,results,TITAN
2023-11-03,results,TITAN
2024-02-01,results,TITAN
2024-05-03,results,TITAN
2024-08-02,results,TITAN
2024-11-05,results,TITAN
2025-02-04,results,TITAN
2023-07-13,results,WIPRO
2023-07-14,results,WIPRO
2023-07-24,results,WIPRO
2023-10-18,results,WIPRO
2023-11-24,results,WIPRO
2023-11-29,results,WIPRO
2024-01-12,results,WIPRO
2024-04-19,results,WIPRO
2024-07-19,results,WIPRO
2024-10-17,results,WIPRO
2025-01-17,results,WIPRO
2026-01-23,results,WIPRO
2026-01-30,results,WIPRO
2023-07-26,results,BPCL
2023-07-28,results,BPCL
2023-08-10,results,BPCL
2023-10-27,results,BPCL
2024-01-29,results,BPCL
2024-05-09,results,BPCL
2024-07-19,results,BPCL
2024-08-09,results,BPCL
2024-08-27,results,BPCL
2024-10-25,results,BPCL
2025-01-22,results,BPCL
2023-07-20,results,HINDUNILVR
2023-10-19,results,HINDUNILVR
2024-01-19,results,HINDUNILVR
2024-04-24,results,HINDUNILVR
2024-07-23,results,HINDUNILVR
2024-10-23,results,HINDUNILVR
2025-01-22,results,HINDUNILVR
2023-07-25,results,ASIANPAINT
2023-10-26,results,ASIANPAINT
2024-01-17,results,ASIANPAINT
2024-05-09,results,ASIANPAINT
2024-07-17,results,ASIANPAINT
2024-11-09,results,ASIANPAINT
2025-02-04,results,ASIANPAINT
2023-07-12,results,HCLTECH
2023-10-12,results,HCLTECH
2024-01-12,results,HCLTECH
2024-04-26,results,HCLTECH
2024-07-12,results,HCLTECH
2024-10-14,results,HCLTECH
2025-01-13,results,HCLTECH
2023-08-03,results,SUNPHARMA
2023-11-01,results,SUNPHARMA
2024-01-31,results,SUNPHARMA
2024-05-22,results,SUNPHARMA
2024-08-01,results,SUNPHARMA
2024-10-28,results,SUNPHARMA
2025-01-31,results,SUNPHARMA
2023-07-24,results,TATASTEEL
2023-11-01,results,TATASTEEL
2024-01-24,results,TATASTEEL
2024-05-29,results,TATASTEEL
2024-07-31,results,TATASTEEL
2024-11-06,results,TATASTEEL
2025-01-27,results,TATASTEEL
2023-07-29,results,NTPC
2023-08-04,results,NTPC
2023-08-21,results,NTPC
2023-10-28,results,NTPC
2024-01-29,results,NTPC
2024-05-24,results,NTPC
2024-07-27,results,NTPC
2024-10-24,results,NTPC
2025-01-25,results,NTPC
2023-07-31,results,POWERGRID
2023-11-07,results,POWERGRID
2024-02-07,results,POWERGRID
2024-05-22,results,POWERGRID
2024-07-26,results,POWERGRID
2024-11-06,results,POWERGRID
2025-02-03,results,POWERGRID
2023-07-21,results,ULTRACEMCO
2023-10-19,results,ULTRACEMCO
2024-01-19,results,ULTRACEMCO
2024-04-29,results,ULTRACEMCO
2024-07-19,results,ULTRACEMCO
2024-10-21,results,ULTRACEMCO
2025-01-23,results,ULTRACEMCO
2023-07-21,results,JSWSTEEL
2023-10-20,results,JSWSTEEL
2024-01-25,results,JSWSTEEL
2024-05-17,results,JSWSTEEL
2024-07-19,results,JSWSTEEL
2024-10-25,results,JSWSTEEL
2025-01-24,results,JSWSTEEL
2023-08-11,results,ONGC
2023-11-10,results,ONGC
2024-02-12,results,ONGC
2024-05-20,results,ONGC
2024-08-05,results,ONGC
2024-08-21,results,ONGC
2024-08-23,results,ONGC
2024-11-11,results,ONGC
2025-01-31,results,ONGC
2023-08-08,results,COALINDIA
2023-11-10,results,COALINDIA
2024-02-12,results,COALINDIA
2024-05-02,results,COALINDIA
2024-07-31,results,COALINDIA
2024-10-25,results,COALINDIA
2025-01-27,results,COALINDIA
2023-08-03,results,ADANIENT
2023-11-02,results,ADANIENT
2024-02-01,results,ADANIENT
2024-05-02,results,ADANIENT
2024-08-01,results,ADANIENT
2024-10-29,results,ADANIENT
2025-01-30,results,ADANIENT
2023-08-08,results,ADANIPORTS
2023-11-09,results,ADANIPORTS
2024-02-01,results,ADANIPORTS
2024-05-02,results,ADANIPORTS
2024-08-01,results,ADANIPORTS
2024-10-29,results,ADANIPORTS
2025-01-30,results,ADANIPORTS
2023-07-26,results,TECHM
2023-10-25,results,TECHM
2024-01-24,results,TECHM
2024-04-25,results,TECHM
2024-07-25,results,TECHM
2024-10-19,results,TECHM
2025-01-17,results,TECHM
2023-10-19,results,NESTLEIND
2024-02-07,results,NESTLEIND
2024-04-25,results,NESTLEIND
2024-07-25,results,NESTLEIND
2024-10-17,results,NESTLEIND
2025-01-31,results,NESTLEIND
2023-08-10,results,GRASIM
2023-11-13,results,GRASIM
2024-02-09,results,GRASIM
2024-05-22,results,GRASIM
2024-08-09,results,GRASIM
2024-08-22,results,GRASIM
2024-09-03,results,GRASIM
2024-11-14,results,GRASIM
2025-02-10,results,GRASIM
2023-08-08,results,HINDALCO
2023-11-10,results,HINDALCO
2024-02-13,results,HINDALCO
2024-05-24,results,HINDALCO
2024-08-13,results,HINDALCO
2024-11-11,results,HINDALCO
2025-02-13,results,HINDALCO
2023-07-26,results,DRREDDY
2023-10-27,results,DRREDDY
2024-01-30,results,DRREDDY
2024-05-07,results,DRREDDY
2024-07-27,results,DRREDDY
2024-11-05,results,DRREDDY
2025-01-23,results,DRREDDY
2023-07-26,results,CIPLA
2023-10-27,results,CIPLA
2024-01-22,results,CIPLA
2024-05-10,results,CIPLA
2024-07-26,results,CIPLA
2024-10-29,results,CIPLA
2025-01-28,results,CIPLA
2023-07-27,results,BAJAJFINSV
2023-10-27,results,BAJAJFINSV
2024-01-30,results,BAJAJFINSV
2024-04-26,results,BAJAJFINSV
2024-07-24,results,BAJAJFINSV
2024-10-23,results,BAJAJFINSV
2025-01-30,results,BAJAJFINSV
2023-07-18,results,INDUSINDBK
2023-10-18,results,INDUSINDBK
2024-01-18,results,INDUSINDBK
2024-04-25,results,INDUSINDBK
2024-07-26,results,INDUSINDBK
2024-10-24,results,INDUSINDBK
2025-01-31,results,INDUSINDBK
2023-08-03,results,EICHERMOT
2023-11-10,results,EICHERMOT
2024-02-13,results,EICHERMOT
2024-05-11,results,EICHERMOT
2024-08-08,results,EICHERMOT
2024-11-13,results,EICHERMOT
2025-02-10,results,EICHERMOT
2023-08-10,results,HEROMOTOCO
2023-11-01,results,HEROMOTOCO
2024-02-09,results,HEROMOTOCO
2024-05-08,results,HEROMOTOCO
2024-08-13,results,HEROMOTOCO
2024-11-14,results,HEROMOTOCO
2025-02-06,results,HEROMOTOCO
2023-08-11,results,APOLLOHOSP
2023-08-24,results,APOLLOHOSP
2023-08-30,results,APOLLOHOSP
2023-11-09,results,APOLLOHOSP
2024-02-08,results,APOLLOHOSP
2024-05-30,results,APOLLOHOSP
2024-08-13,results,APOLLOHOSP
2024-09-09,results,APOLLOHOSP
2024-09-10,results,APOLLOHOSP
2024-11-06,results,APOLLOHOSP
2024-12-04,results,APOLLOHOSP
2025-01-14,results,APOLLOHOSP
2025-02-10,results,APOLLOHOSP
2023-08-14,results,DIVISLAB
2023-11-06,results,DIVISLAB
2024-02-10,results,DIVISLAB
2024-05-25,results,DIVISLAB
2024-08-03,results,DIVISLAB
2024-11-09,results,DIVISLAB
2025-02-03,results,DIVISLAB
2023-07-26,results,TATACONSUM
2023-10-31,results,TATACONSUM
2024-02-07,results,TATACONSUM
2024-04-23,results,TATACONSUM
2024-07-30,results,TATACONSUM
2024-10-18,results,TATACONSUM
2025-01-30,results,TATACONSUM
2023-08-04,results,BRITANNIA
2023-11-01,results,BRITANNIA
2024-02-06,results,BRITANNIA
2024-05-03,results,BRITANNIA
2024-08-02,results,BRITANNIA
2024-11-11,results,BRITANNIA
2025-02-06,results,BRITANNIA
2023-07-25,results,SBILIFE
2023-10-27,results,SBILIFE
2024-01-25,results,SBILIFE
2024-04-26,results,SBILIFE
2024-07-24,results,SBILIFE
2024-10-23,results,SBILIFE
2025-01-17,results,SBILIFE
2023-07-21,results,HDFCLIFE
2023-10-13,results,HDFCLIFE
2024-01-12,results,HDFCLIFE
2024-04-18,results,HDFCLIFE
2024-07-15,results,HDFCLIFE
2024-10-15,results,HDFCLIFE
2025-01-15,results,HDFCLIFE
